NAME,Covid Confirmed Cases,Covid Deaths ,Population,Covid Case Rate (per 1000),Covid Death Rate (per 1000), Households SNAP , Estimated Individuals SNAP , Total Citizen Educated in US , Citizen Less than High School  Education , Citizen High School  Graduate , Citizen Some College  Education , Citizen College Degree  , Citizen Graduate or Professional Degree , Total Citizen Income , Citizen No Income ,"Citizen Income $1-$9,999","Citizen Income $10,000-$14,999","Citizen Income $15,000-$24,999","Citizen Income $25,000-$34,999","Citizen Income $35,000-$49,999","Citizen Income $50,000-$64,999","Citizen Income $65,000-$74,999","Citizen Income $75,000 +", Total Population , One Race Population , White Race , Black Race , Native American Race , Asian Race , Pacific Islander Race , Other Race Alone , Hispanic or Latino ,Median Age,Male Median Age,Female Median Age, Total Households , Average Household Size , Total Families 
"Wayne County, New York",5622,93,93772,59.95393081,0.991767265,4456,11274,63889,6627,22578,20799,8181,5704,75068,6882,11625,6739,12032,11132,10953,7061,2330,6314,93772,87148,2887,258,473,24,1177,1805,90296,41.6,40.8,42.4,36585,3,22299
"Westchester County, New York",2021006,70561,949113,2129.362889,74.3441508,32003,84808,668102,82929,130493,135807,159656,159217,795145,118015,107934,52958,84517,67248,73659,64019,31802,194993,949113,646471,138118,3965,51716,387,78503,29953,742081,40,38.3,41.5,347232,3,228000
"Wyoming County, New York",4423,304,42155,104.9223105,7.211481438,1755,4317,29320,3432,12104,9264,2832,1688,34227,5450,5001,2737,4802,4236,5252,3225,1300,2224,42155,38602,2375,126,160,7,512,373,40911,40.9,39.9,42.5,15501,2,8704
"Yates County, New York",1458,201,25348,57.51933091,7.929619694,1171,2963,16613,2317,5699,4622,2220,1755,20471,1980,4093,2154,3254,2334,2501,1728,568,1859,25348,24647,203,38,97,4,90,269,24927,40.7,40.1,41.4,9517,3,6215
"Atlantic County, New Jersey",86689,5332,274549,315.7505582,19.42094125,15655,40860,187294,25650,61797,50065,33494,16288,223945,27073,36551,20564,34245,25991,24991,18778,7833,27919,274549,179566,44138,1050,20595,92,20218,8890,228308,39.9,38.6,41,102847,3,63888
"Bergen County, New Jersey",1056981,78241,905116,1167.785124,86.44306365,19569,52054,659670,52700,157643,133407,196349,119571,773386,116285,95345,51505,79355,63598,76872,71952,33732,184742,905116,650703,52473,2061,131329,229,45611,22710,759835,41.1,39.7,42.5,335730,3,204405
"Burlington County, New Jersey",208965,11647,448734,465.6767706,25.95524297,10154,26603,313495,20696,90581,86923,74439,40856,370956,44099,49294,24752,41292,36432,43507,39045,19020,73515,448734,331342,74505,985,19395,219,9193,13095,419903,40.4,38.9,41.9,166318,3,104243
"Camden County, New Jersey",284947,13323,513657,554.7417829,25.93754198,24319,64445,348322,40291,106856,92875,68485,39815,413435,50642,64342,33887,54712,42720,47883,38656,17812,62781,513657,335389,100441,1608,26257,165,36354,13443,440533,37.9,36.1,39.4,190980,3,125117
"Cape May County, New Jersey",26807,2004,97265,275.6078754,20.60350589,2980,6914,69911,6436,23086,18502,14444,7443,80785,6569,13421,7212,11712,9223,9648,8322,3079,11599,97265,87369,4565,205,834,36,2399,1857,91211,47.1,45.3,48.7,40812,2,18349
"Cumberland County, New Jersey",81852,2426,156898,521.6892503,15.46227485,9816,27387,104613,23126,41019,25455,10464,4549,124100,15307,26108,12074,21101,13546,13473,9209,3566,9716,156898,98430,31741,1746,1907,59,17492,5523,114441,36.5,35.2,38.2,51931,3,37705
"Essex County, New Jersey",945347,81252,783969,1205.847425,103.6418532,45680,122422,534516,78743,151827,122028,109961,71957,640923,109098,99918,50749,83016,61519,65188,50367,22477,98591,783969,333868,320479,3056,35789,286,65687,24804,624852,36.4,34.8,37.9,283712,3,194918
