Total Population,Total Citizen Income,Hispanic or Latino,Total Citizen Educated in US,Total Households,White Race,Total Families,Citizen College Degree,Citizen Some College  Education,Citizen Income over 75000,Citizen High School  Graduate,Citizen No Income,Pacific Islander Race,Citizen Graduate or Professional Degree,Citizen Income 1-9999,Citizen Less than High School  Education,Citizen Income 15000-24999,Citizen Income 15000-24999,Citizen Income 35000-49999,Case Rate Categories
5228,4224,5152,3708,2296,12,1117,565,1292,399,1354,301,24,201,624,296,747,747,590,1
647,540,635,459,291,1,148,112,178,45,120,25,1,21,103,28,92,92,76,1
6940,4927,6750,3830,2158,17,2467,413,1458,276,1240,811,16,200,1108,519,770,770,609,3
4260,3490,4181,3059,1922,6,941,473,1030,248,1185,154,52,149,588,222,596,596,514,1
20234,16418,19815,13730,7761,122,5092,3100,4950,2166,4020,1442,136,1127,2619,533,1837,1837,2494,2
9595,7907,9194,5381,3507,129,1862,1249,1979,756,1396,409,173,493,2534,264,792,792,977,2
3812,2936,3679,2517,1604,18,861,355,834,204,907,194,48,218,546,203,479,479,403,1
818,725,812,650,350,0,201,87,226,41,266,37,2,37,115,34,114,114,143,0
13665,11226,13110,9379,5564,158,3058,1843,3419,1121,2760,705,263,790,2047,567,1866,1866,1719,2
24877,19281,21868,16340,9671,395,6274,2048,6504,2020,5115,2274,1183,942,3662,1731,2868,2868,2088,1
1951269,1695346,1382625,1428870,715365,204379,488618,222051,473916,170975,411807,266948,262506,110702,236860,210394,252355,252355,218786,2
46997,40710,41894,36100,19638,201,9485,6139,15013,5196,8949,3901,1506,3670,5622,2329,5786,5786,5620,1
48818,40373,37660,33076,17442,378,14230,3848,12448,7781,9420,5449,5022,1990,5358,5370,4851,4851,4820,1
783,920,663,818,389,0,132,110,237,70,365,96,52,27,95,79,223,223,133,0
1987,1400,1749,1265,836,2,481,135,440,305,543,199,101,36,153,111,121,121,89,0
16528,13164,12490,10965,6289,87,4524,1009,3672,2245,3793,1811,2095,661,1974,1830,1699,1699,1418,2
5775,4469,4556,3897,2213,20,1594,275,1202,763,1528,589,496,242,605,650,544,544,501,2
5345,4515,5013,3643,1988,121,1437,510,1218,315,1203,832,116,282,969,430,476,476,619,1
51980,42897,44306,37297,19808,417,12928,3580,14633,3418,11787,5894,3320,1891,6115,5406,6789,6789,5843,1
4772,3695,4336,3290,2240,196,874,303,1237,173,1140,483,101,158,627,452,463,463,649,1
43946,37329,37979,33362,18032,874,9088,2766,12379,2572,12231,5232,2273,1060,6641,4926,5859,5859,3832,1
6753,5723,5245,5137,2018,253,1322,381,1639,331,1812,1980,455,322,851,983,553,553,457,1
4010,3507,3782,3228,1742,40,701,531,1303,400,1015,294,45,208,453,171,575,575,347,1
421407,363082,327683,305049,163445,9814,99332,57226,103810,45204,72480,43993,40038,33654,49665,37879,53532,53532,46355,2
10030,8157,8704,7022,3707,395,2173,693,2405,736,2532,2052,279,331,1193,1061,1071,1071,869,1
55274,45014,43497,38664,21427,1054,11815,5006,14177,3756,11131,5071,5205,3334,7168,5016,6556,6556,6410,2
60088,51028,59364,44469,24766,279,12481,8666,13964,6582,13123,4372,140,5327,7024,3389,7394,7394,7250,1
47818,41306,47345,36574,21052,139,8917,7979,10791,5047,10928,2366,75,4464,6983,2412,6119,6119,6015,1
77117,64691,76027,52603,30204,390,15112,10363,15095,6803,16649,4441,275,6776,12106,3720,9496,9496,9194,1
33055,27838,32654,24528,14171,148,6252,3033,7336,1826,9839,2402,95,1444,4943,2876,4953,4953,3715,1
89118,77006,87518,62303,35986,828,16384,12183,15712,9885,17447,5848,366,12314,14790,4647,10980,10980,10116,1
400721,335814,379480,283506,155466,8298,94082,66236,80644,58138,76015,30596,8276,37335,46586,23276,42308,42308,46249,2
146445,124323,144106,104448,57069,1530,31946,22026,31512,17277,29204,11898,484,14696,18045,7010,15978,15978,18204,2
295223,253412,289081,217737,115033,1996,67438,55341,63258,52584,55276,20058,1678,33019,32173,10843,31052,31052,34748,2
123143,106416,120942,81763,47100,1242,25420,18165,23841,13897,22569,7888,556,11009,20996,6179,13944,13944,15283,2
43742,36213,43249,31540,18126,185,9202,5232,8591,3741,11841,3288,117,2950,4610,2926,5853,5853,5668,1
274549,223945,228308,187294,102847,44138,63888,33494,50065,27919,61797,27073,20218,16288,36551,25650,34245,34245,24991,3
905116,773386,759835,659670,335730,52473,204405,196349,133407,184742,157643,116285,45611,119571,95345,52700,79355,79355,76872,4
448734,370956,419903,313495,166318,74505,104243,74439,86923,73515,90581,44099,9193,40856,49294,20696,41292,41292,43507,3
513657,413435,440533,348322,190980,100441,125117,68485,92875,62781,106856,50642,36354,39815,64342,40291,54712,54712,47883,3
97265,80785,91211,69911,40812,4565,18349,14444,18502,11599,23086,6569,2399,7443,13421,6436,11712,11712,9648,2
156898,124100,114441,104613,51931,31741,37705,10464,25455,9716,41019,15307,17492,4549,26108,23126,21101,21101,13473,4
783969,640923,624852,534516,283712,320479,194918,109961,122028,98591,151827,109098,65687,71957,99918,78743,83016,83016,65188,4
288288,237663,274576,198621,104271,29006,70261,40959,55106,44731,67125,25674,4055,20597,35709,14834,28498,28498,26826,3
634266,561097,366413,481845,246437,83925,131162,118853,87836,96849,126237,94066,90373,70614,77394,78305,73788,73788,54663,5
128349,105817,121627,88545,47169,3451,30217,26800,19913,30927,19230,12906,1570,18121,13663,4481,9691,9691,9495,3
366513,307346,311195,250034,133155,74318,82982,53953,54370,58853,61587,41703,22856,49772,50926,30352,37093,37093,29823,4
809858,685536,660883,572917,281186,78462,185457,142318,122864,133536,147854,125105,56569,98366,82673,61515,74907,74907,71566,4
630380,516662,569441,436169,233983,46443,150299,115874,105334,124495,107712,62310,18187,76020,72103,31229,56680,56680,49841,3
492276,410735,435794,347344,180534,15360,117695,106554,70471,115855,73245,50897,14910,76125,50523,20949,40261,40261,39465,3
576567,472584,528784,406087,221111,18164,134919,76806,115577,72777,139381,52336,14165,38473,65990,35850,69528,69528,55303,4
501226,408102,315549,336045,166785,64295,124613,60664,71765,55940,116225,74312,75735,30103,60683,57288,54990,54990,40798,5
66083,52283,61576,44330,25290,9309,15510,6440,12440,7443,16840,6243,1745,2878,7872,5732,7190,7190,6227,3
323444,271958,281353,230407,117759,28943,80835,66537,46368,75188,48614,35756,13360,55850,32951,13038,26296,26296,26789,3
149265,119678,139648,101164,54752,2677,35773,23533,28991,25923,31745,13477,1783,11218,15499,5677,14121,14121,13222,2
536499,448233,389795,377040,188118,118313,131258,77535,85379,79179,110261,64625,45496,50914,63226,52951,59854,59854,47895,5
108692,89191,101033,75330,41480,3818,25608,15509,20815,16405,23732,9611,1964,8335,13031,6939,11552,11552,10805,3
662564,547574,345475,458214,266000,19652,159130,84115,145820,61923,106306,76898,105847,69078,88192,52895,78426,78426,66169,2
3725,3166,3016,2958,1787,16,590,507,905,115,1146,374,142,257,647,143,593,593,420,1
65645,50886,31506,41186,23691,1323,18383,5149,13223,3193,11193,7515,14399,2670,10781,8951,7271,7271,6023,1
27213,21608,17279,17996,8860,275,6834,1548,6349,1134,5942,4107,3370,679,4496,3478,3106,3106,2474,2
13750,10583,7262,9223,6011,64,2839,1194,3262,696,3020,1000,1412,695,2465,1052,1752,1752,1079,1
48376,38795,29259,30517,18015,3055,13717,3952,11117,3073,8166,5298,8344,2121,7699,5161,6504,6504,3931,2
2022,1641,1243,1371,912,3,451,78,559,144,494,319,160,64,317,176,293,293,126,0
209233,168538,71719,128109,75532,3656,55858,20740,37888,12244,28434,28344,38685,14424,36888,26623,27211,27211,15690,2
53829,44331,30098,36678,20411,743,14035,3602,11699,5792,13479,5541,8629,2338,7175,5560,5981,5981,5941,1
29514,23446,15262,20168,12586,255,6473,3044,6942,1790,5191,2827,2837,2401,4998,2590,3620,3620,2521,1
4687,3733,957,3418,1766,79,1021,262,885,102,1323,447,1004,185,738,763,888,888,412,2
695,453,396,437,349,2,92,88,134,27,153,14,71,17,100,45,97,97,41,1
4894,3594,2125,3115,1936,29,1262,294,969,157,1041,502,536,154,883,657,613,613,317,2
64727,51682,31664,41617,22236,2641,19028,3292,11874,5681,13007,10592,10764,2172,8249,11272,6820,6820,5506,1
20497,16446,14387,14662,9219,96,3888,2907,4789,1359,4261,2083,1880,1438,3032,1267,2944,2944,1909,1
17950,14678,15304,12704,7663,102,4348,3196,2857,5403,1272,1459,393,5119,2178,260,966,966,975,1
25095,18836,9672,15549,9593,288,6645,1342,3466,834,4762,2544,4176,856,5668,5123,2887,2887,1409,1
71492,54771,62019,43373,21968,360,22373,2572,12777,2378,14948,15507,3522,2125,13294,10951,7066,7066,4127,5
4881,3911,928,3044,2114,32,1042,210,1175,168,1152,830,1149,177,1078,330,561,561,180,0
63797,52093,41771,42409,24464,2251,15961,4319,15862,3353,12202,7529,7352,3447,11322,6579,8513,8513,5096,1
9041,6821,5207,5761,4072,103,1968,485,1656,290,2317,682,648,402,1914,901,1365,1365,484,1
40246,31729,11543,26604,15768,204,9913,3186,9061,1733,8722,7783,11288,1725,5212,3910,4186,4186,3317,1
19846,15336,11933,11004,7299,364,5270,1488,3093,743,2957,2364,3164,1206,3996,2260,2359,2359,1360,2
131561,111188,85432,93967,47602,2800,35159,16453,32959,13303,23737,18977,15139,11796,17004,9022,14559,14559,13382,2
130044,98749,105268,81304,44404,756,37651,6752,30483,9160,25719,18110,9501,5081,18810,13269,14106,14106,9955,4
29393,23767,6810,19478,11978,412,6462,1979,6367,703,5506,4774,7478,1834,5278,3792,3851,3851,2361,1
144170,124215,71155,108259,61963,1239,30236,22812,27236,18413,24126,16851,21730,22042,15907,12043,17084,17084,14755,1
11988,9709,8636,8689,5917,49,1928,1121,2924,398,2711,634,1032,548,2466,1385,1712,1712,1055,1
17866,13737,9202,10962,7014,188,4270,1309,2561,556,3717,2028,1442,831,3398,2544,2153,2153,1168,2
32937,27724,14556,24305,14806,143,6782,3897,8064,1840,6462,3096,6296,2839,6380,3043,4441,4441,3184,1
16383,12909,9984,10996,6264,219,3951,1299,3669,539,3609,2277,2535,646,2737,1773,2140,2140,1025,2
4549,3450,2744,2989,1695,80,930,296,672,227,1192,641,532,180,549,649,699,699,501,1
76569,60690,31964,50564,27500,1071,20182,5302,16538,3801,16747,10607,13046,2957,12428,9020,8347,8347,6867,1
304204,261188,289287,204833,126251,38609,60631,43162,55932,39107,50589,26674,4744,39895,43585,15255,32428,32428,33524,2
48946,39483,48276,30331,18208,524,10576,3012,9645,2270,11464,4836,206,2991,9029,3219,6261,6261,4999,1
1385108,1148779,643695,927374,483449,505200,368196,115670,227450,72519,256066,240151,351011,63879,230548,264309,161033,161033,114434,5
200600,164680,193822,129802,82167,9614,40559,20371,40265,14063,40700,20008,1912,16037,31726,12429,25172,25172,20756,2
80317,63623,78972,53201,32263,1024,18801,5702,15930,3921,21015,6661,305,4366,11149,6188,10495,10495,8822,1
80026,65512,78130,55476,31445,3195,17298,7518,18041,5697,18110,8248,654,4935,9950,6872,10301,10301,9102,1
134905,108699,126664,90242,54244,3197,29446,10576,28566,6538,32162,11483,2669,8570,21845,10368,18565,18565,13827,1
88830,71187,86590,60124,35462,5828,19880,8149,18039,6415,21231,10249,549,6961,11204,5744,10326,10326,8804,1
50477,40431,49548,34561,20436,345,11479,3571,10461,2773,13451,4173,205,2874,6823,4204,6885,6885,5465,2
82128,69043,80074,55125,31582,3209,15890,6200,15327,5381,20454,10302,540,5854,12278,7290,9054,9054,8683,1
63096,52531,60642,45715,25906,2855,12807,7112,13006,6674,14109,5622,683,6663,7489,4825,7005,7005,7439,2
49336,40542,48242,30199,18671,760,10411,4460,9182,2969,10308,3847,271,3397,8323,2852,5995,5995,5356,1
47980,39605,46420,32972,19898,779,9405,3997,9386,2630,12403,3968,394,3135,7610,4051,6061,6061,5093,1
297488,249045,266221,204168,107965,29518,65969,38896,60566,43955,53465,28465,10345,31746,42551,19495,29044,29044,28076,3
919040,768445,877309,642871,383164,123931,198944,117778,194586,90415,179951,77708,13427,93578,126205,56978,108417,108417,102487,2
39370,33151,38377,28866,16262,1073,7586,4186,8909,2856,9615,3493,320,3518,5376,2638,5139,5139,4634,1
51599,43083,50093,35862,19054,3127,10720,3240,10899,2795,13328,8794,385,3451,7093,4944,5230,5230,5230,1
55531,44913,54268,38651,22554,1060,12326,3778,12985,3550,13794,4803,296,3052,7363,5042,7268,7268,5783,2
60079,48723,58463,41240,23728,1612,13259,5226,13954,4267,14790,4375,575,3616,7774,3654,7641,7641,7092,2
49221,41120,46802,35151,19823,2826,9482,4380,9623,3921,12827,6627,551,3363,6140,4958,6041,6041,5071,2
4836,4121,4785,3604,2262,35,795,313,1286,181,1155,314,4,409,850,441,612,612,453,1
64519,52072,63479,43979,26324,700,14298,5258,14351,3416,16040,5309,220,3850,9221,4480,8478,8478,7338,1
116229,92104,110086,73008,43451,5876,29633,9044,25733,7041,24512,10384,1668,6609,15509,7110,15355,15355,11892,1
2504700,2118407,2008415,1789355,916856,860083,594378,380135,354282,279587,460338,388569,219229,249155,344896,345445,261999,261999,217982,4
27087,21695,26730,18363,10514,184,6703,1664,5080,1701,8436,2459,56,1322,3375,1861,3315,3315,3400,1
65393,54812,63591,42717,24409,1598,13217,5614,13683,4359,14257,7341,495,4499,10791,4664,7092,7092,7718,1
73442,60228,72126,47707,27754,1350,16005,7427,14159,5827,16389,8632,270,5477,10254,4255,7840,7840,7710,2
744344,617804,690339,510165,300422,113171,168699,105288,147912,74150,123741,59217,18885,83730,102788,49494,87966,87966,81029,2
50219,40173,44565,34126,20272,951,11801,3460,11210,3066,12036,4474,2211,2358,7519,5062,6058,6058,5441,2
1339532,1121132,1144177,942504,448528,149049,311580,229392,220149,276427,219372,156847,75211,188711,141800,84880,116738,116738,113534,5
1585873,1448890,1182296,1259137,763846,246687,234435,397987,172290,430662,156607,190625,175696,366162,199792,166091,133809,133809,119466,4
216469,177438,211775,150502,90556,14851,46490,20569,49339,17435,52205,17887,1108,14801,28262,13588,26850,26850,24804,2
234878,191432,224059,159917,93028,14688,51377,22777,49274,16803,53357,23099,3407,15433,32464,19076,27632,27632,25896,2
467026,384484,448197,316513,187686,51220,107255,62078,95788,46914,80811,43296,5479,48689,61245,29147,51852,51852,50384,2
107931,90925,104252,76354,43019,2432,24300,14319,23984,11475,21491,7575,1196,11395,14487,5165,13443,13443,12830,2
372813,298145,305628,240447,125925,37946,101529,41214,73772,52258,71195,45559,24615,29772,40694,24494,36709,36709,32485,5
42883,34837,41126,29704,16119,2523,9540,2874,9394,2194,11706,5564,567,1842,5133,3888,5264,5264,4550,2
122109,98819,119557,80201,46400,972,28223,8412,24278,8304,30749,9987,650,6291,19347,10471,15075,15075,12460,1
62259,52579,60338,40004,24620,1066,11618,6124,11505,4290,13077,4788,413,5711,12575,3587,7511,7511,6369,1
99710,82991,88049,70373,35041,2350,23650,15619,18632,19667,19539,9866,2833,11507,10339,5076,9429,9429,8996,3
2230722,1941166,1616972,1665576,780117,426683,461901,325374,376485,238511,461228,350752,288392,187932,279954,314557,259941,259941,218228,5
159429,133491,153349,110822,64702,10338,33969,18877,36675,18170,31980,12579,1783,14169,20035,9121,16875,16875,18103,2
468730,389289,387679,328506,165516,49857,109201,62620,82970,71699,103011,73275,28006,42865,54778,37040,40599,40599,39716,5
311687,250238,262904,204647,99242,37058,87580,44992,50437,52968,45439,38415,18159,37762,34977,26017,29728,29728,24658,5
111944,91918,109798,72131,41605,2420,23805,8335,20771,6126,26084,13873,670,8338,18984,8603,12648,12648,10808,1
219607,188014,214328,160285,88296,3269,49856,37413,46001,36326,39770,16815,1165,27322,24918,9779,21854,21854,24476,2
154727,127392,145900,106739,62886,14710,35509,18515,31868,15460,31537,13701,5364,14366,20739,10453,18009,18009,16077,2
32749,26994,31825,22191,13166,435,6532,2825,6675,2245,8205,2951,170,1970,4916,2516,3554,3554,3802,1
18343,15255,18109,13177,7530,159,3890,1568,3841,1138,5073,1560,37,1341,2747,1354,2548,2548,2055,1
35251,29081,34299,24870,13393,1607,7519,2962,7475,2227,8802,4028,240,2134,4518,3497,4562,4562,3594,2
98990,79884,97619,68162,40344,1540,23198,7885,20566,6697,25337,8422,343,7497,13150,6877,13116,13116,10136,2
1493350,1231210,1247111,1030141,499922,111224,357670,196946,276103,259786,292373,172680,82965,163250,158737,101469,139218,139218,135875,5
77547,62484,66993,53264,30139,7039,17576,7141,15876,5930,17732,7989,3229,5297,10858,7218,9179,9179,7937,4
51125,40614,50431,34772,20350,375,11977,5443,10321,4458,12383,3838,146,3148,6132,3477,5989,5989,5608,2
101564,91517,97300,60092,38967,4020,16659,13726,13218,10510,11947,14147,1175,17889,20992,3312,10542,10542,9848,1
182493,153338,166584,129659,71049,10982,36816,22291,37400,20265,39462,18451,4542,18400,24742,12106,20276,20276,18335,3
65707,54907,64529,47642,27990,590,13545,7426,14093,6214,15652,4054,208,6529,8535,3942,8248,8248,7274,2
63216,52287,61770,44765,24142,1893,13317,5207,13150,3860,17553,5835,432,3649,8843,5206,8564,8564,7092,2
93772,75068,90296,63889,36585,2887,22299,8181,20799,6314,22578,6882,1177,5704,11625,6627,12032,12032,10953,1
949113,795145,742081,668102,347232,138118,228000,159656,135807,194993,130493,118015,78503,159217,107934,82929,84517,84517,73659,5
42155,34227,40911,29320,15501,2375,8704,2832,9264,2224,12104,5450,512,1688,5001,3432,4802,4802,5252,2
25348,20471,24927,16613,9517,203,6215,2220,4622,1859,5699,1980,90,1755,4093,2317,3254,3254,2501,1
151131,128250,134492,106443,59960,28369,35443,16342,36294,9540,29752,16965,9291,7997,20380,16058,22017,22017,16225,2
37198,31038,35597,26561,14425,2043,8453,2453,7471,1365,10600,4421,838,1232,4824,4805,5863,5863,3766,1
11155,9325,10151,8076,4778,140,2235,949,2371,485,2487,973,515,561,1851,1708,2023,2023,915,2
26948,21356,26136,18081,9755,13090,5966,1179,5352,741,7455,3959,357,490,3957,3605,3244,3244,2487,2
27281,22811,25970,20207,11755,161,5301,2669,6884,1085,6337,2132,613,1275,4407,3042,4147,4147,2788,1
17797,15368,17000,13225,6664,709,3059,1626,4001,840,3973,3045,435,1051,3214,2574,2748,2748,1404,1
47759,39321,44593,33835,19941,12223,10527,4287,11084,2885,11353,5224,1986,2352,7573,4759,6134,6134,4810,1
21282,16910,21015,14657,8359,13296,4436,1155,3921,700,5432,2275,96,647,4356,3502,3155,3155,1505,2
35190,28131,32688,24279,14430,12268,8117,2456,7704,1123,8000,4395,1774,1074,5358,5045,4018,4018,3416,2
107431,105493,101882,95320,46297,12291,20161,17232,32147,10716,26098,9293,2634,9458,17708,10385,18092,18092,12621,2
238318,212288,224064,183555,100412,15211,48840,43720,52119,20735,43888,21437,6266,26996,31644,16832,36700,36700,28238,2
90912,74814,86278,63662,35804,6012,20188,6873,21378,3388,19250,9919,2774,3736,13115,12425,12847,12847,8637,3
178011,154219,161244,129485,65666,27219,48781,26125,43895,19108,32741,19718,8664,12665,22654,14059,20983,20983,20690,2
83029,67980,79233,58549,33388,4086,18786,5765,18561,3167,18836,8432,2048,2916,12636,12471,11435,11435,8571,2
9980,8366,9765,7131,3675,1316,2557,800,2923,796,1870,1413,74,491,1280,1047,929,929,1333,1
66469,58513,64228,51560,28870,4041,12575,8112,19831,6194,13266,5261,812,5630,9562,4721,9354,9354,8006,1
23719,19268,22975,16611,9190,8020,4889,1599,5102,984,5508,2739,350,673,3759,3729,2960,2960,2193,2
154358,126962,141326,107371,60887,13041,36795,15892,34607,9592,32547,16853,6395,7173,19334,17152,21159,21159,16141,2
63505,56664,55277,49958,25845,8392,13841,10683,12952,9178,10641,6571,4619,9350,7700,6332,8170,8170,6951,3
27444,23545,26756,20942,11753,350,5287,2438,6718,1094,7060,3203,215,1574,4122,3152,4118,4118,2617,1
14793,11957,14326,10492,6059,5070,3317,1257,3130,881,3688,1849,266,732,2203,1685,1952,1952,1507,1
10587,9003,10329,8212,4660,64,1983,1168,2679,566,2754,987,81,725,1300,886,1747,1747,1144,1
98078,79475,95322,66333,38555,20332,22998,6464,21455,3592,23268,12145,1131,4504,14120,10642,13281,13281,9627,1
58098,46434,55436,39263,22489,17713,13532,3336,13738,2189,12995,7832,1750,1589,8304,7605,7912,7912,4885,2
103505,83917,97233,67131,40299,23193,24203,10303,25189,7644,17342,8807,2361,6016,13498,8281,14227,14227,10151,2
319431,262582,289241,203986,122431,117117,85541,32717,82177,19676,52895,39724,9943,16760,42381,19437,42482,42482,32734,2
23547,20605,22843,17861,8880,1361,5591,3022,6475,2554,5072,2512,223,1069,2963,2223,2602,2602,3253,1
33920,29666,31710,26282,14335,834,6792,5284,9931,3100,6710,1872,810,2557,3984,1800,4705,4705,4649,1
162878,133845,152470,114428,64515,14421,38872,14808,36305,8937,38447,17571,5871,5858,21935,19010,21505,21505,18871,2
41240,34440,38744,29709,16245,2593,9751,4282,9733,3146,9371,3814,1458,2539,5517,3784,5413,5413,4878,2
58505,47259,46446,39829,22495,14773,14870,2972,11906,1721,13017,6710,8856,1311,10030,10623,8646,8646,4745,4
267587,245257,231510,204862,109348,101577,60321,51502,48093,33336,34867,32618,21094,45297,36215,25103,32912,32912,31792,3
56552,43735,54448,36717,21680,32435,13879,2692,10975,1443,13599,6368,1326,1572,8526,7879,7556,7556,4887,2
350670,296323,308895,245413,141163,91227,85401,52053,72144,30390,62094,43301,25167,30929,49746,28193,42375,42375,37789,2
60619,51970,55843,43826,23023,16212,14862,6507,14526,3957,13167,7168,2666,2705,9147,6921,7414,7414,6198,2
206086,173438,193885,146885,79867,31431,49241,21333,48281,12745,45116,22900,6315,8731,29387,23424,28324,28324,22150,2
12197,9660,12024,8277,4665,4044,2903,794,2862,603,2956,1415,73,507,1717,1158,1463,1463,1306,2
8861,7130,8667,6053,3701,17,1913,536,1835,295,2260,1079,91,321,1441,1101,1208,1208,755,1
59916,48566,55434,40925,20628,19652,13333,5934,12767,3835,12875,7588,2323,2642,7664,6707,6956,6956,6363,3
21362,17364,18308,14841,7313,7964,4952,1083,5072,575,4640,3469,2002,366,3637,3680,2462,2462,1810,2
488406,420517,453580,344396,196628,158899,114483,77709,102650,43148,83016,60724,17675,42647,69310,38374,61190,61190,52320,2
54691,42900,53539,36513,21970,29109,12618,3607,9392,2010,13594,6560,581,1498,8983,8422,6828,6828,4413,2
114678,99369,102319,82137,41594,23973,31827,11267,29157,7620,24939,17866,6272,5429,16740,11345,13293,13293,12900,2
59036,50875,57037,44811,25563,624,11535,6564,15818,4027,12620,5257,844,4330,8122,5479,9004,9004,6169,1
106740,94177,96316,82961,45448,3224,21959,16894,27897,7858,20430,9121,4934,8992,14370,8748,16056,16056,12684,2
24669,20408,24025,16877,9334,14933,5197,1671,5455,741,5461,3788,235,910,4504,3380,3277,3277,2245,2
46952,39865,41129,33360,16532,15716,14185,4381,12815,2385,9597,8467,2743,1713,6504,4854,5256,5256,5158,2
5810,4634,5399,3968,2119,1836,1076,193,1324,168,1539,963,142,93,804,819,725,725,478,1
159437,137132,148593,115647,61215,19047,40585,21711,38320,15590,33155,17954,5348,9443,21656,13018,20046,20046,17463,2
40271,35769,38233,26716,16446,745,7123,4455,8325,2231,7046,3601,1087,3683,8569,3207,5591,5591,4252,1
168878,145760,147064,122671,61909,25546,46970,19175,42401,12661,36055,19589,12653,7393,23135,17647,21347,21347,19698,2
10153,8221,9755,7224,4167,3289,2208,683,2802,344,2082,975,190,340,1746,1317,1381,1381,1204,2
57866,47306,47290,39706,22058,11565,14860,5622,13932,3940,10203,6381,5286,2804,7977,7145,7722,7722,5625,3
59495,47203,55578,40180,24327,24121,14332,3516,13968,2057,12816,5522,2299,1889,9882,7991,8267,8267,5503,2
78265,66189,73027,56890,30343,4340,18481,8087,18927,6188,17576,8921,2078,3430,10177,8870,10380,10380,8336,2
44996,37501,42604,32336,17838,1708,9785,3646,10838,1648,10707,5242,1442,1486,6829,5659,6930,6930,4723,2
33922,29054,31692,25576,14591,447,6534,3731,8722,1926,7986,3536,905,1951,5287,3186,5172,5172,3605,2
20764,18177,20341,15174,8494,240,4092,2304,4057,1000,4850,2065,94,1631,4065,2332,3340,3340,1972,1
24505,19230,23736,16621,10318,10651,5435,1775,5239,947,5991,2808,434,858,3195,2758,3753,3753,2144,2
919628,822611,807684,688046,362213,282804,233338,200706,191960,129941,123245,107923,57113,102491,117496,69644,109065,109065,104217,3
15579,12838,14948,11205,6685,58,3035,1344,3556,593,3680,1423,397,683,2488,1942,2128,2128,1769,1
27798,22333,23872,18910,10544,5231,6746,1927,5818,1078,6271,4032,2439,723,3516,4171,4076,4076,2712,3
88247,77478,82986,67957,37540,11839,19149,14770,21266,9873,15591,8658,2426,9670,12445,6660,11533,11533,9524,2
95840,76825,89825,64512,37782,35650,22935,8695,20091,5683,21704,9693,3677,4403,14418,9619,12525,12525,9568,2
202667,184689,191951,149505,86046,29907,40413,38863,47049,22393,32819,20998,4852,19301,34274,11473,26143,26143,22877,2
22099,17338,21794,15066,9193,12895,4600,1179,4244,783,5593,2839,181,751,3698,3299,2786,2786,1709,2
177772,151355,159876,101561,60092,27672,44938,14336,42614,10565,29654,18530,5679,6206,22325,8751,31466,31466,18382,1
133801,118396,122784,87529,51457,15928,27969,22592,17387,20355,13273,14971,5341,27793,25076,6484,13102,13102,13463,2
13144,11169,12732,9824,5490,2632,2354,1209,3575,805,2971,1577,163,695,2047,1374,1655,1655,1294,1
40661,32137,39019,26571,14956,15355,9199,3422,8908,2411,8593,4803,737,1987,6103,3661,4258,4258,4195,2
52217,47018,49023,40493,20333,9269,11889,6505,13072,4525,11716,6281,1742,3868,8966,5332,6520,6520,5824,2
13453,11258,13167,10092,5598,3347,2769,1390,3527,917,3201,1562,157,597,1934,1377,1783,1783,1381,2
39464,32286,37871,27663,15826,10646,9114,3028,9207,1959,10168,3973,868,1194,5001,4066,4892,4892,4372,2
168148,144252,158946,105532,67577,57257,37798,20457,36587,11631,25035,19111,5136,12122,32014,11331,20372,20372,17509,2
20510,17729,19388,15648,8989,918,3938,3144,5038,1560,3981,1674,528,1852,2793,1633,3269,3269,2310,2
141752,115674,127054,98075,55373,8176,34714,10713,30370,6375,33702,15809,7561,4305,17078,18985,19636,19636,15645,2
46639,36670,43898,30544,18430,14269,11380,2932,9074,1782,11065,5558,1700,1425,7322,6048,6396,6396,3876,2
134168,105691,123236,85584,47997,32637,35927,7672,25197,3595,29797,23068,6672,3291,19660,19627,17233,17233,10390,2
93643,76054,88484,65455,38693,17655,20789,6665,20943,4064,22603,10477,2608,2956,13514,12288,13159,13159,9523,1
138428,112996,127784,95078,53140,22392,32942,12616,31409,7248,31497,16148,5993,4837,18808,14719,19039,19039,14358,2
67810,55210,65413,47447,27466,6854,15224,5429,15031,2591,15386,8480,1034,2767,10363,8834,10090,10090,6811,2
63431,50603,52991,42499,24005,17128,16277,3796,13144,2145,14400,6678,7430,1500,10510,9659,8893,8893,5493,3
36157,28612,35403,23608,13614,13943,9073,2424,6971,1011,7800,6203,385,1318,5611,5095,4522,4522,2670,2
60585,49975,58419,42321,23589,6630,13733,5068,14695,3136,14353,6262,1271,1928,8245,6277,8433,8433,6579,2
47401,38771,46147,33595,19416,1916,10521,3585,9663,2109,13581,5103,589,1101,5385,5665,6935,6935,5797,2
73673,59508,66518,50753,29914,2749,17217,5517,16143,3101,15221,8822,4410,2850,10472,11022,9825,9825,7387,2
13981,11485,13441,9818,5672,76,3269,1031,3215,487,3200,1578,150,446,2053,1926,1812,1812,1151,2
33090,28865,32126,25011,14394,1292,5832,4378,7607,1811,6796,2574,415,3104,5587,3126,5276,5276,3564,1
4407,3588,4167,3213,1595,1683,795,152,805,73,1342,495,161,93,886,821,578,578,321,1
201292,171529,180325,140617,67864,23558,60880,33350,42945,25047,35519,24692,10760,14407,26813,14396,21254,21254,21496,2
