Total Population,Total Citizen Income,Hispanic or Latino,Total Citizen Educated in US,Total Households,White Race,Total Families,Citizen College Degree,Citizen Some College  Education,Citizen Income over 75000,Citizen High School  Graduate,Citizen No Income,Pacific Islander Race,Citizen Graduate or Professional Degree,Citizen Income 1-9999,Citizen Less than High School  Education,Citizen Income 15000-24999,Citizen Income 15000-24999,Citizen Income 35000-49999,Case Rate Categories
96443,82618,92166,66594,37291,12640,24141,11235,18997,6607,22137,9371,2339,6434,15802,7791,13294,13294,10171,2
61948,49393,58188,41681,23447,725,16350,4184,13392,2746,16347,6848,1948,1864,8199,5894,8449,8449,6468,1
50902,37904,49888,31104,19026,26051,14809,3440,8943,2288,11109,6185,404,1822,6854,5790,6534,6534,4360,3
17870,13778,17604,11552,7002,3972,4494,905,2659,892,5037,1935,83,684,2447,2267,2577,2577,1182,2
8116,6235,7928,5331,3280,3400,1913,569,1422,118,2258,753,94,183,1102,899,1278,1278,666,1
13008,9537,12430,7981,5321,6216,3377,722,1891,329,3276,1352,364,286,2237,1806,1762,1762,1077,1
18509,15253,18055,11647,7360,5144,4361,1399,3101,878,4440,2408,270,751,3744,1956,2065,2065,1533,1
113237,97501,108802,73744,42614,11568,27742,13732,22895,8113,22489,13929,1997,8159,17652,6469,14035,14035,11880,1
18125,14431,17754,12127,7037,130,4431,1060,3585,763,4854,1832,92,311,3026,2317,2444,2444,1787,1
12245,10091,12148,8828,5196,40,2598,687,2907,506,3478,889,35,385,2377,1371,1851,1851,1014,1
96024,81546,91402,70624,40994,7615,20093,9096,26270,5823,21798,9265,1904,5129,14629,8331,15044,15044,9235,1
17853,14665,17461,12460,6933,390,4315,1577,3566,1165,5291,2010,207,790,2538,1236,2167,2167,1996,1
42090,35320,41189,29424,16425,233,10590,3204,8247,1836,12491,4023,390,1543,6301,3939,6517,6517,4564,1
22609,17305,19896,14441,8839,6646,5878,1228,4045,759,5636,2640,1911,659,3397,2873,3171,3171,1892,1
32923,27698,32004,23757,12664,3568,7686,2077,7212,1107,9836,4060,338,1205,5771,3427,4500,4500,3519,1
13789,10531,12440,8938,5365,2846,3623,1023,2777,588,3126,1372,681,344,1964,1668,2174,2174,1006,2
36647,29733,34508,25097,14391,722,8792,2861,7408,1698,9431,3501,1178,1661,5680,3736,5264,5264,3232,1
13696,11545,13488,10150,5731,175,2625,874,3261,479,3842,1703,77,433,2275,1740,2181,2181,1093,1
17997,14437,17561,12454,6724,3000,3734,755,3116,698,5377,3355,205,395,2748,2811,2208,2208,1308,1
77435,58039,76216,47738,28873,42639,18428,5136,14448,2968,18257,11506,529,2887,11147,7010,8171,8171,6147,3
25540,20768,22446,17133,9812,364,6329,1714,3507,867,7423,3282,1983,983,4133,3506,3707,3707,2092,2
7645,5939,7514,5088,3150,2845,1776,612,1217,355,2126,935,54,150,1304,983,865,865,514,1
17415,13719,17257,11386,6938,137,3992,1198,3283,557,4519,1681,32,563,2931,1823,2466,2466,1757,2
10424,8090,10256,6893,3624,5761,2160,395,1539,304,2709,2271,69,184,1738,2066,898,898,576,5
14134,11875,13682,10268,4207,4223,2743,576,2069,245,5358,5494,298,239,1454,2026,1227,1227,861,5
13171,10253,12814,8956,5411,2519,3137,661,3084,649,3618,1639,207,260,1405,1333,1999,1999,1250,2
22353,17819,21843,15234,8704,297,5491,1324,4160,763,6765,2537,201,511,3352,2474,3618,3618,1922,1
68356,55961,66110,46871,25295,4075,18831,6732,15978,5156,16061,7405,766,2701,8660,5399,7623,7623,7494,1
15717,12860,14958,10914,6174,28,3801,793,2426,642,5005,1986,426,468,2115,2222,2259,2259,1675,3
16653,13943,16366,12502,7411,30,2983,1270,4072,431,4695,1704,51,734,2883,1731,2809,2809,1589,1
43462,35066,42424,29694,17219,10667,10549,3211,9664,2284,10919,4585,415,1470,6541,4430,5532,5532,4382,1
46480,33985,44785,27903,17741,15817,13104,2227,8643,2103,10936,4189,943,1168,7321,4929,5520,5520,3935,2
8149,6152,8017,5193,3481,3330,1840,379,1329,256,2220,701,74,105,1552,1160,1044,1044,688,1
9487,7694,9126,6762,4000,22,1998,511,1999,376,2496,879,187,320,1707,1436,1462,1462,714,1
8997,6866,8777,5855,3697,2764,2131,676,1405,207,2619,1032,123,321,1292,834,1313,1313,956,3
8330,6623,8189,5795,3571,9,1736,582,1429,213,2361,692,22,327,1536,1096,1373,1373,662,1
26120,19734,25712,16834,11003,10468,6145,1549,4682,965,7085,2914,162,1027,3987,2491,3662,3662,2225,1
10445,8432,10198,7202,4170,196,2402,692,2171,423,2902,1254,51,240,1413,1197,1570,1570,947,1
21757,15252,21470,12482,8491,13719,6113,863,4165,578,3886,2482,95,550,3462,3018,2434,2434,1529,2
11291,8884,10564,7609,4457,330,2787,609,2438,434,2765,1178,485,524,1731,1273,1599,1599,894,1
24583,19391,24040,16332,9754,1775,5959,1160,4358,521,7034,2556,281,437,3771,3343,3766,3766,2550,2
20662,16400,19472,14096,8450,65,4921,1110,4648,684,5599,2282,512,658,3545,2081,3109,3109,1514,2
61754,51201,57586,39964,23353,1784,14241,5826,11059,3231,13635,6737,2230,3051,11156,6393,8842,8842,4899,2
8715,6905,8634,6009,3685,1064,1878,602,1601,382,2546,885,10,229,1188,1031,1033,1033,1027,1
382748,315010,360580,264775,158772,133858,92185,55304,80034,34286,70093,40665,11646,33844,49512,25500,46880,46880,41067,2
17969,14236,17686,12164,7299,128,4171,1182,3856,688,4415,1821,123,579,2834,2132,2522,2522,1625,1
28258,21787,27109,18484,9616,14667,6677,998,5510,664,7285,5279,386,761,4326,3930,3572,3572,1819,5
107118,93392,103031,80044,41441,4994,26139,13140,26005,9326,25702,9601,2125,7293,12451,7904,14639,14639,13664,1
11233,8446,10451,7143,4368,53,2883,368,1933,281,2910,1013,423,361,1837,1571,1590,1590,798,1
8195,6624,8074,5841,3574,12,1675,429,1563,311,2552,726,26,336,1401,961,1184,1184,896,1
125744,101595,110299,84291,49599,8019,31882,11009,26741,6899,26825,14268,9285,5038,17924,14678,18945,18945,10270,1
17058,12995,11838,10640,5975,734,5040,699,2797,578,3705,2097,3387,434,2114,3005,2490,2490,1671,5
17264,14080,16974,12317,7360,93,3717,762,3716,439,5189,1724,72,529,3129,2121,2847,2847,1463,2
12394,10459,12237,9127,5325,11,2555,698,2718,411,3068,1411,55,521,2088,2122,1925,1925,862,1
41639,32026,40179,27264,16951,13721,10061,3928,7485,2402,9891,4353,756,1558,6539,4402,4798,4798,3441,2
17295,14002,16820,12321,7433,68,3537,946,3256,689,5607,1745,113,643,2940,1869,2499,2499,1321,1
203065,176662,171607,134615,76389,6006,51484,25446,34622,16417,35790,29208,18170,17516,26619,21241,28155,28155,19709,3
77076,63235,74197,50686,29342,3074,18433,6153,12860,4292,19462,8606,1259,4387,12867,7824,9064,9064,7634,1
7260,5540,7173,4827,3134,1994,1672,436,1131,240,2040,688,49,114,1168,1106,984,984,556,1
22185,17220,17955,14546,8219,307,5831,1415,3264,839,6224,2498,1817,572,3198,3071,3104,3104,1961,3
1510271,1339671,1170382,1139149,545138,190451,340621,293137,284098,295283,203796,194226,162540,216157,181263,141961,140801,140801,140544,2
1175,1041,1091,811,497,0,256,121,243,67,277,213,19,87,214,83,106,106,95,1
38091,32657,33335,28953,14569,962,6393,4285,11745,3541,7832,6261,1450,2113,3981,2978,4306,4306,3817,1
220000,187500,188884,145918,87618,3415,46168,25811,57637,17608,33023,24992,12141,13036,36075,16411,29696,29696,19394,1
45578,38717,40875,34250,18886,383,8943,4306,14775,5101,9450,5667,1534,2298,5182,3421,5834,5834,4215,1
21419,16505,9615,13509,7056,195,6410,1524,4123,1362,3132,2250,5838,600,2523,4130,2358,2358,2137,1
1049025,908576,793465,767132,375364,97161,260505,198521,233710,203489,137219,136043,112691,113984,123039,83698,98512,98512,91210,2
28610,22606,23517,19424,9907,993,6138,1695,6809,1423,6230,5298,1980,1109,3988,3581,3115,3115,1875,1
181058,154360,159183,132744,70223,1409,41175,28348,50590,29563,28481,20945,7278,15900,21460,9425,20802,20802,14579,1
930450,737153,462380,588491,289391,49523,277507,78378,186653,66425,134373,143214,217085,40011,132418,149076,103219,103219,68728,2
28122,21747,17583,17927,9800,231,7865,1819,5779,1365,4891,3907,5522,509,3845,4929,3406,3406,2178,1
134623,113536,121412,91359,56031,1505,27061,17668,33878,9016,21962,12894,5003,9216,21584,8635,18406,18406,12717,1
174528,136747,34257,108522,49126,5773,51098,10692,33212,9446,25530,31215,52413,4806,32000,34282,17057,17057,10249,5
18546,15136,14949,13230,8049,109,3900,2103,4370,1808,4014,1392,1676,1241,1713,1502,2734,2734,1735,1
839631,662468,426598,526286,254610,48921,254081,55523,159688,62486,145694,148627,204314,27558,105363,137823,92863,92863,58138,2
152982,115510,75116,91889,41233,11014,42548,8518,31542,8159,23477,31858,42996,3473,16133,24879,15535,15535,10974,3
64665,53307,53577,46386,26548,1232,13672,4588,18137,4263,14042,7579,5455,2528,9201,7091,9667,9667,4859,1
34895,27278,28778,22422,10058,2834,6293,1761,8416,2220,7265,10674,3562,1020,3402,3960,2452,2452,2208,1
9818605,8227851,5130716,6801851,3241204,856874,2402208,1384333,1782880,1098279,1408905,1517532,2140632,739973,1243758,1485760,1145827,1145827,805053,2
150865,118744,69873,96096,43317,5629,42849,8945,31695,8907,23827,27020,37380,4351,20260,27278,18482,18482,9868,1
252409,216737,213340,191055,103210,6987,52214,62021,46833,68681,21448,23662,16973,47855,26290,12898,21953,21953,19390,2
18251,15396,16575,13656,7693,138,3242,2017,5119,1468,3852,1985,508,1318,2429,1350,2473,2473,2043,1
87841,71717,68336,61673,34945,622,19461,10117,22129,6433,16180,8711,10185,5168,12671,8079,11341,11341,8232,1
255793,200938,115308,156562,75642,9926,80698,14006,47016,14194,39302,41544,62665,7535,35340,48703,30294,30294,19764,2
9686,7572,8344,6852,4064,82,2124,859,2636,440,2087,958,680,277,1332,993,1475,1475,813,0
14202,11681,10440,9692,5768,47,2979,2250,3320,1405,1835,943,1539,807,1511,1480,2123,2123,1569,2
415057,336512,185054,273560,125946,12785,111013,39587,72720,39923,56609,63386,117405,25854,44110,78790,57104,57104,32375,2
136484,116192,92474,97924,48876,2668,31486,22344,31392,21935,17725,13180,20058,11511,16436,14952,14619,14619,13243,1
98764,84744,90325,75012,41527,389,19106,17134,29414,13095,13885,9101,2678,9740,12982,4839,12043,12043,9671,1
3010232,2566838,1997259,2132158,992781,50744,736659,537600,603879,478336,369128,435825,435641,295516,351055,326035,315040,315040,251769,2
348432,305453,303722,260802,132627,4751,85085,65212,98866,65203,49705,42736,13375,32559,39848,14460,34868,34868,32421,1
20007,16193,18402,14480,8977,192,3601,1806,6592,1965,3686,1348,603,1465,2641,931,2368,2368,1881,1
2189641,1850351,1194384,1500538,686260,140543,620108,205329,497987,212375,395824,365733,448235,117606,287448,283792,254790,254790,180068,2
1418788,1193740,1112592,996195,513945,147058,363053,196514,345169,162246,224145,191915,131691,101072,180358,129295,147388,147388,134080,1
55269,45888,24083,37357,16805,483,16066,4980,13167,6479,9212,6876,14471,2190,6482,7808,5638,5638,5055,2
2035210,1647272,1034065,1313298,611618,181862,594588,168511,436051,157677,344417,361254,439661,91159,261116,273160,220203,220203,166446,2
3095313,2674812,2103965,2197045,1086865,158213,724168,505483,675349,436120,408582,430522,419465,315431,366332,292200,350129,350129,291053,2
805235,764957,683461,683074,345811,48870,107524,228294,135318,226554,84072,73811,53021,152772,100113,82618,72650,72650,69550,2
685306,557991,418965,450857,215007,51744,200724,55477,148765,60449,123399,108911,131054,26026,88692,97190,72910,72910,57901,2
269637,238061,213664,185803,102016,5550,50841,39299,68113,36757,36805,32153,19786,23878,42027,17708,29715,29715,25352,1
718451,627222,535949,544336,257837,20436,159772,153522,135551,169704,84393,76283,84529,110676,76895,60194,66093,66093,65223,2
423895,359963,242208,272818,142104,8513,98047,54031,81177,51173,47512,49219,73860,36733,60191,53365,53275,53275,38224,2
