Total Population,Total Citizen Income,Hispanic or Latino,Total Citizen Educated in US,Total Households,White Race,Total Families,Hispanic or Latino_iqr,Citizen High School  Graduate,Citizen Some College  Education,Citizen College Degree,Citizen Income over 75000,Citizen No Income,Citizen Income 1-9999,Pacific Islander Race,Native American Race,Citizen Graduate or Professional Degree,Citizen Less than High School  Education,Citizen Income 15000-24999,Citizen Income 35000-49999,Death Rate Categories
195751,160012,78839,127583,64767,3931,55185,78839.0,33138,39968,11782,10287,29069,29286,40743,2324,6513,36182,26247,17528,2
19019,14955,18506,12722,8005,4661,4425,18506.0,4960,3756,1241,860,1610,3064,320,92,552,2213,2479,1806,0
21853,16763,20784,14166,8765,5640,5330,20784.0,5883,3975,1333,827,2821,3158,709,40,566,2409,2824,1890,1
41513,35111,40825,31590,18748,67,7506,40825.0,11104,10660,3914,1887,2532,6308,193,169,1906,4006,7278,4905,0
221339,194838,187056,163405,82087,2814,61848,140466.75,48563,42708,34624,25225,30292,22575,19061,6319,17108,20402,28614,25244,1
36903,30242,36229,25897,15120,72,8585,36229.0,8401,9467,2721,1491,2912,6435,120,156,1482,3826,5104,3510,0
11508,8798,9992,7530,4673,3173,2681,9992.0,3179,1865,736,617,1350,1657,1162,27,351,1399,1353,1001,2
5368,4353,5216,3719,2262,1192,1102,5216.0,1774,899,302,276,542,761,74,11,155,589,756,563,0
27446,22666,23957,19549,11393,103,6183,23957.0,7020,5954,2302,1164,2601,4076,1677,164,1480,2793,4545,2610,1
11800,8939,11258,7711,4579,6381,2724,11258.0,3148,2022,727,432,1905,1779,381,55,289,1525,1423,809,2
22995,18912,22069,13186,8783,5413,4480,22069.0,4185,3964,2165,1064,2196,5216,497,120,1313,1559,2822,2140,0
16083,12487,15866,10667,6845,56,3590,15866.0,4412,2829,725,402,1446,2622,80,20,412,2289,2025,1302,0
25970,21357,25453,18802,11078,72,5162,25453.0,7372,5510,1800,1601,2523,3611,203,52,1182,2938,3588,2370,2
8689,6824,8544,5735,3416,1059,2151,8544.0,2584,1445,641,522,1129,1128,79,10,334,731,1015,893,0
24552,19833,24019,14863,9759,9059,5594,24019.0,6009,3411,1997,1153,2869,4722,289,177,1193,2253,2872,2021,2
21273,16965,20516,14496,8463,2385,5145,20516.0,6342,3715,1500,1142,2119,3297,311,83,797,2142,2771,1679,2
96443,82618,92166,66594,37291,12640,24141,92166.0,22137,18997,11235,6607,9371,15802,2339,1075,6434,7791,13294,10171,1
61948,49393,58188,41681,23447,725,16350,58188.0,16347,13392,4184,2746,6848,8199,1948,893,1864,5894,8449,6468,0
50902,37904,49888,31104,19026,26051,14809,49888.0,11109,8943,3440,2288,6185,6854,404,301,1822,5790,6534,4360,2
17870,13778,17604,11552,7002,3972,4494,17604.0,5037,2659,905,892,1935,2447,83,83,684,2267,2577,1182,1
8116,6235,7928,5331,3280,3400,1913,7928.0,2258,1422,569,118,753,1102,94,11,183,899,1278,666,0
13008,9537,12430,7981,5321,6216,3377,12430.0,3276,1891,722,329,1352,2237,364,43,286,1806,1762,1077,0
18509,15253,18055,11647,7360,5144,4361,18055.0,4440,3101,1399,878,2408,3744,270,95,751,1956,2065,1533,1
113237,97501,108802,73744,42614,11568,27742,108802.0,22489,22895,13732,8113,13929,17652,1997,1277,8159,6469,14035,11880,1
18125,14431,17754,12127,7037,130,4431,17754.0,4854,3585,1060,763,1832,3026,92,162,311,2317,2444,1787,0
12245,10091,12148,8828,5196,40,2598,12148.0,3478,2907,687,506,889,2377,35,28,385,1371,1851,1014,0
96024,81546,91402,70624,40994,7615,20093,91402.0,21798,26270,9096,5823,9265,14629,1904,695,5129,8331,15044,9235,1
17853,14665,17461,12460,6933,390,4315,17461.0,5291,3566,1577,1165,2010,2538,207,48,790,1236,2167,1996,0
42090,35320,41189,29424,16425,233,10590,41189.0,12491,8247,3204,1836,4023,6301,390,108,1543,3939,6517,4564,0
22609,17305,19896,14441,8839,6646,5878,19896.0,5636,4045,1228,759,2640,3397,1911,82,659,2873,3171,1892,1
32923,27698,32004,23757,12664,3568,7686,32004.0,9836,7212,2077,1107,4060,5771,338,95,1205,3427,4500,3519,0
13789,10531,12440,8938,5365,2846,3623,12440.0,3126,2777,1023,588,1372,1964,681,87,344,1668,2174,1006,1
36647,29733,34508,25097,14391,722,8792,34508.0,9431,7408,2861,1698,3501,5680,1178,278,1661,3736,5264,3232,0
13696,11545,13488,10150,5731,175,2625,13488.0,3842,3261,874,479,1703,2275,77,41,433,1740,2181,1093,1
17997,14437,17561,12454,6724,3000,3734,17561.0,5377,3116,755,698,3355,2748,205,53,395,2811,2208,1308,0
77435,58039,76216,47738,28873,42639,18428,76216.0,18257,14448,5136,2968,11506,11147,529,601,2887,7010,8171,6147,2
25540,20768,22446,17133,9812,364,6329,22446.0,7423,3507,1714,867,3282,4133,1983,175,983,3506,3707,2092,0
7645,5939,7514,5088,3150,2845,1776,7514.0,2126,1217,612,355,935,1304,54,26,150,983,865,514,2
17415,13719,17257,11386,6938,137,3992,17257.0,4519,3283,1198,557,1681,2931,32,22,563,1823,2466,1757,3
10424,8090,10256,6893,3624,5761,2160,10256.0,2709,1539,395,304,2271,1738,69,41,184,2066,898,576,2
14134,11875,13682,10268,4207,4223,2743,13682.0,5358,2069,576,245,5494,1454,298,27,239,2026,1227,861,3
13171,10253,12814,8956,5411,2519,3137,12814.0,3618,3084,661,649,1639,1405,207,39,260,1333,1999,1250,0
22353,17819,21843,15234,8704,297,5491,21843.0,6765,4160,1324,763,2537,3352,201,361,511,2474,3618,1922,0
68356,55961,66110,46871,25295,4075,18831,66110.0,16061,15978,6732,5156,7405,8660,766,532,2701,5399,7623,7494,0
15717,12860,14958,10914,6174,28,3801,14958.0,5005,2426,793,642,1986,2115,426,81,468,2222,2259,1675,0
16653,13943,16366,12502,7411,30,2983,16366.0,4695,4072,1270,431,1704,2883,51,37,734,1731,2809,1589,0
43462,35066,42424,29694,17219,10667,10549,42424.0,10919,9664,3211,2284,4585,6541,415,198,1470,4430,5532,4382,1
46480,33985,44785,27903,17741,15817,13104,44785.0,10936,8643,2227,2103,4189,7321,943,233,1168,4929,5520,3935,1
8149,6152,8017,5193,3481,3330,1840,8017.0,2220,1329,379,256,701,1552,74,36,105,1160,1044,688,0
9487,7694,9126,6762,4000,22,1998,9126.0,2496,1999,511,376,879,1707,187,50,320,1436,1462,714,0
8997,6866,8777,5855,3697,2764,2131,8777.0,2619,1405,676,207,1032,1292,123,23,321,834,1313,956,2
8330,6623,8189,5795,3571,9,1736,8189.0,2361,1429,582,213,692,1536,22,25,327,1096,1373,662,0
26120,19734,25712,16834,11003,10468,6145,25712.0,7085,4682,1549,965,2914,3987,162,95,1027,2491,3662,2225,0
10445,8432,10198,7202,4170,196,2402,10198.0,2902,2171,692,423,1254,1413,51,17,240,1197,1570,947,0
21757,15252,21470,12482,8491,13719,6113,21470.0,3886,4165,863,578,2482,3462,95,67,550,3018,2434,1529,1
11291,8884,10564,7609,4457,330,2787,10564.0,2765,2438,609,434,1178,1731,485,57,524,1273,1599,894,0
24583,19391,24040,16332,9754,1775,5959,24040.0,7034,4358,1160,521,2556,3771,281,45,437,3343,3766,2550,2
20662,16400,19472,14096,8450,65,4921,19472.0,5599,4648,1110,684,2282,3545,512,94,658,2081,3109,1514,0
61754,51201,57586,39964,23353,1784,14241,57586.0,13635,11059,5826,3231,6737,11156,2230,605,3051,6393,8842,4899,1
8715,6905,8634,6009,3685,1064,1878,8634.0,2546,1601,602,382,885,1188,10,6,229,1031,1033,1027,0
382748,315010,360580,264775,158772,133858,92185,140466.75,70093,80034,55304,34286,40665,49512,11646,7505,33844,25500,46880,41067,2
17969,14236,17686,12164,7299,128,4171,17686.0,4415,3856,1182,688,1821,2834,123,32,579,2132,2522,1625,1
28258,21787,27109,18484,9616,14667,6677,27109.0,7285,5510,998,664,5279,4326,386,136,761,3930,3572,1819,2
107118,93392,103031,80044,41441,4994,26139,103031.0,25702,26005,13140,9326,9601,12451,2125,931,7293,7904,14639,13664,1
11233,8446,10451,7143,4368,53,2883,10451.0,2910,1933,368,281,1013,1837,423,384,361,1571,1590,798,0
8195,6624,8074,5841,3574,12,1675,8074.0,2552,1563,429,311,726,1401,26,11,336,961,1184,896,0
125744,101595,110299,84291,49599,8019,31882,110299.0,26825,26741,11009,6899,14268,17924,9285,5102,5038,14678,18945,10270,1
17058,12995,11838,10640,5975,734,5040,11838.0,3705,2797,699,578,2097,2114,3387,63,434,3005,2490,1671,2
17264,14080,16974,12317,7360,93,3717,16974.0,5189,3716,762,439,1724,3129,72,50,529,2121,2847,1463,2
12394,10459,12237,9127,5325,11,2555,12237.0,3068,2718,698,411,1411,2088,55,45,521,2122,1925,862,0
41639,32026,40179,27264,16951,13721,10061,40179.0,9891,7485,3928,2402,4353,6539,756,207,1558,4402,4798,3441,2
17295,14002,16820,12321,7433,68,3537,16820.0,5607,3256,946,689,1745,2940,113,56,643,1869,2499,1321,2
203065,176662,171607,134615,76389,6006,51484,140466.75,35790,34622,25446,16417,29208,26619,18170,4416,17516,21241,28155,19709,1
77076,63235,74197,50686,29342,3074,18433,74197.0,19462,12860,6153,4292,8606,12867,1259,419,4387,7824,9064,7634,1
7260,5540,7173,4827,3134,1994,1672,7173.0,2040,1131,436,240,688,1168,49,15,114,1106,984,556,0
22185,17220,17955,14546,8219,307,5831,17955.0,6224,3264,1415,839,2498,3198,1817,287,572,3071,3104,1961,2
1510271,1339671,1170382,1139149,545138,190451,340621,140466.75,203796,284098,293137,295283,194226,181263,162540,394560,216157,141961,140801,140544,2
1175,1041,1091,811,497,0,256,1091.0,277,243,121,67,213,214,19,7,87,83,106,95,0
38091,32657,33335,28953,14569,962,6393,33335.0,7832,11745,4285,3541,6261,3981,1450,419,2113,2978,4306,3817,0
220000,187500,188884,145918,87618,3415,46168,140466.75,33023,57637,25811,17608,24992,36075,12141,9057,13036,16411,29696,19394,1
45578,38717,40875,34250,18886,383,8943,40875.0,9450,14775,4306,5101,5667,5182,1534,571,2298,3421,5834,4215,0
21419,16505,9615,13509,7056,195,6410,9615.0,3132,4123,1524,1362,2250,2523,5838,281,600,4130,2358,2137,0
1049025,908576,793465,767132,375364,97161,260505,140466.75,137219,233710,198521,203489,136043,123039,112691,151469,113984,83698,98512,91210,1
28610,22606,23517,19424,9907,993,6138,23517.0,6230,6809,1695,1423,5298,3988,1980,965,1109,3581,3115,1875,0
181058,154360,159183,132744,70223,1409,41175,140466.75,28481,50590,28348,29563,20945,21460,7278,6297,15900,9425,20802,14579,0
